DEPARTAMENTO,ABUSO DE CONTRATACIÓN DIRECTA,FAVORECIMIENTO DE INTERESES POLÍTICOS,SOBRECOSTOS EN BIENES Y SERVICIOS DIFERENTES A ALIMENTOS,SOBRECOSTOS EN MERCADOS,TOTAL POR DEPARTAMENTO
ANTIOQUIA,500000000,,,,500000000
ARAUCA,348474410,,15.137.567  ,4.463.739.189,4.827.351.166
BOYACA,,,,49.862.625 ,49.862.625
CALDAS,,,378.637.600,,378.637.600
CAUCA,,,,294.400.000 ,294.400.000
CESAR,514.369.753,,,183.309.640 ,697.679.393
CUNDINAMARCA,536.798.236  ,18.150.000,,1.590.000.000,2.144.948.236
HUILA,,,,5.250.000.000 ,5.250.000.000
META,,,,165.006.299 ,165.006.299
NARINO ,,,,240.138.000,240.138.000
SANTANDER,1.001.499.101 ,,,2.075.665.200 ,3.077.164.301
SUCRE,,,,3.497.328.948 ,3.497.328.948
TOLIMA,,349.632.500 ,122.002.688 ,88.726.250 ,560.361.438